model_no,sel_coverage,sel_risk,sel_accuracy,sr_coverage,sr_risk,sr_accuracy
5.0,0.9997365648050579,0.1812911725955204,0.8187088274044796,0.9997365648050579,0.1812911725955204,0.8187088274044796
6.0,0.5,0.10590094836670183,0.8940990516332982,0.49973656480505796,0.047443331576172865,0.9525566684238271
6.0,0.5500526870389885,0.1135057471264368,0.8864942528735632,0.5495258166491043,0.057046979865771785,0.9429530201342282
6.0,0.5998419388830347,0.12692138779095297,0.873078612209047,0.5995785036880927,0.06546572934973638,0.9345342706502636
6.0,0.6498946259220232,0.13660316173490072,0.8633968382650993,0.6496311907270811,0.0758313057583131,0.9241686942416869
6.0,0.6999473129610115,0.14377117049303723,0.8562288295069628,0.6996838777660696,0.09149096385542166,0.9085090361445783
6.0,0.75,0.15349490691956447,0.8465050930804355,0.7497365648050579,0.1043569922698524,0.8956430077301476
6.0,0.7997892518440464,0.16501976284584985,0.8349802371541502,0.7995258166491043,0.11993410214168043,0.8800658978583196
6.0,0.8498419388830347,0.1720396776193428,0.8279603223806572,0.8495785036880927,0.1382945736434108,0.8617054263565892
6.0,0.8998946259220232,0.18003512880562056,0.8199648711943794,0.8996311907270811,0.1604685212298682,0.8395314787701318
6.0,0.9499473129610115,0.192457016084304,0.807542983915696,0.9496838777660696,0.17919556171983353,0.8208044382801665
6.0,0.9997365648050579,0.20395256916996052,0.7960474308300395,0.9997365648050579,0.20368906455862978,0.7963109354413702
