model_no,auxilary_head_accuracy,selective_head_accuracy,selective_head_selective_acc,loss,auxilary_head_loss,selective_head_loss,auxilary_head_coverage,selective_head_coverage,val_auxilary_head_accuracy,val_selective_head_accuracy,val_selective_head_selective_acc,val_loss,val_auxilary_head_loss,val_selective_head_loss,val_auxilary_head_coverage,val_selective_head_coverage
1.0,0.8724773526191711,0.8142731785774231,0.6254358291625977,0.24210724234580994,0.29970207810401917,0.18451236188411713,0.37256619334220886,0.8607649803161621,0.8677918314933777,0.8016877770423889,0.6509999632835388,0.25225281715393066,0.30467772483825684,0.19982783496379852,0.3551439344882965,0.8975879549980164
1.0,0.8909037709236145,0.8549283146858215,0.6328563094139099,0.20091469585895538,0.25213563442230225,0.14969365298748016,0.37243637442588806,0.8558000326156616,0.8687294721603394,0.8321612477302551,0.629300594329834,0.24471929669380188,0.2922271192073822,0.19721157848834991,0.3791533410549164,0.8590973615646362
1.0,0.9061129093170166,0.8733547925949097,0.6247997879981995,0.16768807172775269,0.21357394754886627,0.12180206179618835,0.3800298273563385,0.8411971926689148,0.8626347780227661,0.8457571268081665,0.6130421161651611,0.2657170295715332,0.32361048460006714,0.20782361924648285,0.4136904776096344,0.8726456761360168
1.0,0.9321439266204834,0.9140099287033081,0.6205076575279236,0.13149641454219818,0.16818636655807495,0.09480652958154678,0.3849948048591614,0.8444098234176636,0.8673230409622192,0.8462259769439697,0.6058508157730103,0.2856665253639221,0.34190645813941956,0.22942671179771423,0.39592215418815613,0.8273809552192688
1.0,0.8831624984741211,0.8530014753341675,0.6286165714263916,0.22205853462219238,0.2791350483894348,0.1649819165468216,0.387825071811676,0.840956449508667,0.8565400838851929,0.8251289129257202,0.6768088936805725,0.3491414487361908,0.41080498695373535,0.28747788071632385,0.3257373869419098,0.919753909111023
1.0,0.920644223690033,0.9016105532646179,0.628129780292511,0.1490102857351303,0.19113191962242126,0.10688867419958115,0.38350772857666016,0.8389120101928711,0.8602906465530396,0.8321612477302551,0.6021113395690918,0.28618675470352173,0.3420076370239258,0.23036590218544006,0.4101812541484833,0.8273809552192688
1.0,0.9478769898414612,0.9335285425186157,0.6226863265037537,0.10043127089738846,0.13026829063892365,0.07059427350759506,0.3926757276058197,0.8387977480888367,0.8556024432182312,0.8396624326705933,0.6037746071815491,0.30059608817100525,0.3603292405605316,0.24086284637451172,0.4153340458869934,0.8173418641090393
1.0,0.9551976323127747,0.9449487328529358,0.6346328854560852,0.08469988405704498,0.11106190085411072,0.05833784118294716,0.3895774185657501,0.8324868083000183,0.8654477000236511,0.8518518805503845,0.6319803595542908,0.33618536591529846,0.38886773586273193,0.28350308537483215,0.3868825435638428,0.8005730509757996
1.0,0.9674963355064392,0.9590044021606445,0.6285204291343689,0.06400341540575027,0.08480878174304962,0.043198030441999435,0.391215443611145,0.8354073762893677,0.8673230409622192,0.8607594966888428,0.6020721197128296,0.35988283157348633,0.44295546412467957,0.2768101692199707,0.4185989797115326,0.8134106397628784
1.0,0.8573938608169556,0.8008784651756287,0.6516651511192322,0.26588600873947144,0.3318713307380676,0.1999005526304245,0.36960330605506897,0.8206902742385864,0.8654477000236511,0.8077824711799622,0.6569905281066895,0.261423259973526,0.3063860833644867,0.21646040678024292,0.35772034525871277,0.8388193249702454
1.0,0.8960468769073486,0.8655929565429688,0.6437726616859436,0.18719333410263062,0.241514652967453,0.132872074842453,0.38315218687057495,0.815547525882721,0.8659165501594543,0.8185654282569885,0.5986051559448242,0.2712378203868866,0.3313292860984802,0.21114633977413177,0.37124645709991455,0.840907096862793
1.0,0.9188872575759888,0.8919472694396973,0.630203902721405,0.1549396514892578,0.2022741585969925,0.10760524123907089,0.380472868680954,0.8160173892974854,0.8556024432182312,0.8063759803771973,0.653889000415802,0.32043182849884033,0.3798358738422394,0.2610277831554413,0.32667022943496704,0.8439276814460754
1.0,0.9423133134841919,0.9247437715530396,0.6286224722862244,0.11354788392782211,0.1488553136587143,0.07824042439460754,0.3878377676010132,0.8247156143188477,0.8598218560218811,0.8513830304145813,0.642524242401123,0.3013361096382141,0.3562612235546112,0.24641096591949463,0.34437188506126404,0.7942652702331543
